INGP INDIGENOUS STATUS,STATE,"PERSONS LIVING IN IMPROVISED DWELLINGS, TENTS, OR SLEEPING OUT",PERSONS IN SUPPORTED ACCOMMODATION FOR THE HOMELESS,PERSONS STAYING TEMPORARILY WITH OTHER HOUSEHOLDS,PERSONS LIVING IN BOARDING HOUSES,PERSONS IN OTHER TEMPORARY LODGINGS,PERSONS LIVING IN 'SEVERELY' CROWDED DWELLINGS,PERSONS LIVING IN OTHER CROWDED DWELLINGS,PERSONS IN OTHER IMPROVISED DWELLINGS,PERSONS WHO ARE MARGINALLY HOUSED IN CARAVAN PARKS,NOT APPLICABLE,TOTAL,CENSUS_YEAR
Non-Indigenous,Queensland,1213.0,2036.0,4458.0,2301.0,203.0,4665.0,9636.0,1571.0,3517.0,4229666.0,4259250.0,2016
Non-Indigenous,South Australia,261.0,712.0,1197.0,658.0,29.0,1748.0,3334.0,257.0,379.0,1536347.0,1544931.0,2016
Non-Indigenous,Western Australia,695.0,449.0,1783.0,775.0,51.0,2061.0,4217.0,747.0,942.0,2235806.0,2247513.0,2016
Non-Indigenous,Tasmania,102.0,423.0,441.0,125.0,23.0,242.0,597.0,132.0,116.0,446441.0,448647.0,2016
Non-Indigenous,Northern Territory,261.0,168.0,352.0,115.0,19.0,342.0,736.0,232.0,231.0,161401.0,163857.0,2016
Non-Indigenous,Australian Capital Territory,40.0,500.0,255.0,43.0,7.0,369.0,673.0,0.0,39.0,366914.0,368835.0,2016
Non-Indigenous,Other Territories,4.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,4311.0,4328.0,2016
Aboriginal,New South Wales,348.0,783.0,372.0,140.0,13.0,507.0,1358.0,87.0,201.0,203192.0,207007.0,2016
Aboriginal,Victoria,115.0,403.0,74.0,37.0,7.0,101.0,191.0,12.0,36.0,43660.0,44622.0,2016
Aboriginal,Queensland,353.0,459.0,249.0,171.0,9.0,2202.0,1887.0,144.0,232.0,143491.0,149198.0,2016
Aboriginal,South Australia,81.0,342.0,90.0,20.0,0.0,377.0,433.0,4.0,17.0,31214.0,32576.0,2016
Aboriginal,Western Australia,366.0,207.0,152.0,94.0,0.0,1750.0,1494.0,18.0,26.0,68976.0,73075.0,2016
Aboriginal,Tasmania,10.0,65.0,37.0,9.0,0.0,9.0,64.0,0.0,6.0,21187.0,21385.0,2016
Aboriginal,Northern Territory,799.0,367.0,56.0,170.0,5.0,10484.0,4268.0,41.0,17.0,39612.0,55821.0,2016
Aboriginal,Australian Capital Territory,7.0,63.0,17.0,0.0,0.0,0.0,34.0,0.0,4.0,6023.0,6153.0,2016
Aboriginal,Other Territories,0.0,0.0,0.0,0.0,0.0,7.0,26.0,0.0,0.0,182.0,215.0,2016
Torres Strait Islander,New South Wales,9.0,11.0,12.0,16.0,0.0,22.0,15.0,0.0,6.0,4746.0,4835.0,2016
Torres Strait Islander,Victoria,8.0,11.0,0.0,4.0,0.0,6.0,0.0,0.0,6.0,1998.0,2045.0,2016
Torres Strait Islander,Queensland,22.0,60.0,26.0,72.0,0.0,354.0,423.0,6.0,38.0,20014.0,21013.0,2016
Torres Strait Islander,South Australia,4.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,939.0,948.0,2016
Torres Strait Islander,Western Australia,7.0,0.0,4.0,3.0,0.0,5.0,0.0,0.0,0.0,1429.0,1449.0,2016
Torres Strait Islander,Tasmania,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1089.0,1097.0,2016
Torres Strait Islander,Northern Territory,3.0,9.0,0.0,0.0,0.0,10.0,5.0,0.0,3.0,745.0,771.0,2016
Torres Strait Islander,Australian Capital Territory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,174.0,2016
Torres Strait Islander,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,2016
Both Aboriginal and Torres Strait Islander,New South Wales,4.0,15.0,12.0,11.0,0.0,7.0,25.0,0.0,9.0,3993.0,4080.0,2016
Both Aboriginal and Torres Strait Islander,Victoria,0.0,9.0,6.0,0.0,0.0,7.0,0.0,0.0,0.0,1142.0,1169.0,2016
Both Aboriginal and Torres Strait Islander,Queensland,24.0,68.0,21.0,40.0,0.0,311.0,383.0,10.0,17.0,15621.0,16481.0,2016
Both Aboriginal and Torres Strait Islander,South Australia,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628.0,633.0,2016
Both Aboriginal and Torres Strait Islander,Western Australia,3.0,0.0,0.0,4.0,0.0,23.0,11.0,0.0,0.0,1594.0,1641.0,2016
Both Aboriginal and Torres Strait Islander,Tasmania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,873.0,879.0,2016
Both Aboriginal and Torres Strait Islander,Northern Territory,0.0,3.0,4.0,0.0,0.0,215.0,84.0,7.0,0.0,1396.0,1706.0,2016
Both Aboriginal and Torres Strait Islander,Australian Capital Territory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,183.0,2016
Both Aboriginal and Torres Strait Islander,Other Territories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2016
Not stated,New South Wales,495.0,1515.0,88.0,1855.0,4.0,156.0,271.0,28.0,129.0,432167.0,436707.0,2016
Not stated,Victoria,97.0,2293.0,51.0,1161.0,0.0,128.0,245.0,17.0,75.0,333581.0,337652.0,2016
Not stated,Queensland,123.0,1105.0,73.0,1029.0,0.0,73.0,178.0,20.0,153.0,311896.0,314653.0,2016
Not stated,South Australia,36.0,364.0,19.0,222.0,0.0,14.0,41.0,0.0,13.0,80629.0,81332.0,2016
Not stated,Western Australia,22.0,398.0,29.0,130.0,0.0,33.0,67.0,9.0,55.0,162193.0,162927.0,2016
Not stated,Tasmania,21.0,83.0,10.0,4.0,0.0,7.0,15.0,0.0,3.0,29047.0,29193.0,2016
Not stated,Northern Territory,33.0,88.0,11.0,197.0,0.0,9.0,17.0,0.0,17.0,27593.0,27981.0,2016
Not stated,Australian Capital Territory,4.0,239.0,4.0,56.0,0.0,0.0,0.0,0.0,0.0,20126.0,20429.0,2016
Not stated,Other Territories,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,626.0,627.0,2016
