Date,Category,Subcategory,Detail,Item,Newtenanciestime,Region,Value
31/05/2023,Total Waitlist,Applications,Family 4 bedroom,Dwelling need,,WA,765
31/05/2023,Total Waitlist,Applications,Family 5 bedroom,Dwelling need,,WA,153
31/05/2023,Total Waitlist,Applications,Family 6plus bedroom,Dwelling need,,WA,40
31/05/2023,Total Waitlist,Applications,To Be Determined,Dwelling need,,WA,492
31/05/2023,Total Waitlist,Individuals,Singles 1 bedroom,Dwelling need,,WA,9028
31/05/2023,Total Waitlist,Individuals,Singles 2 bedroom,Dwelling need,,WA,837
31/05/2023,Total Waitlist,Individuals,Seniors 1 bedroom,Dwelling need,,WA,3223
31/05/2023,Total Waitlist,Individuals,Seniors 2 bedroom,Dwelling need,,WA,432
31/05/2023,Total Waitlist,Individuals,Family 2 bedroom,Dwelling need,,WA,7003
31/05/2023,Total Waitlist,Individuals,Family 3 bedroom,Dwelling need,,WA,7200
31/05/2023,Total Waitlist,Individuals,Family 4 bedroom,Dwelling need,,WA,3927
31/05/2023,Total Waitlist,Individuals,Family 5 bedroom,Dwelling need,,WA,1007
31/05/2023,Total Waitlist,Individuals,Family 6plus bedroom,Dwelling need,,WA,333
31/05/2023,Total Waitlist,Individuals,To Be Determined,Dwelling need,,WA,997
31/05/2023,Priority Waitlist,Applications,Singles 1 bedroom,Dwelling need,,WA,1906
31/05/2023,Priority Waitlist,Applications,Singles 2 bedroom,Dwelling need,,WA,158
31/05/2023,Priority Waitlist,Applications,Seniors 1 bedroom,Dwelling need,,WA,467
31/05/2023,Priority Waitlist,Applications,Seniors 2 bedroom,Dwelling need,,WA,96
31/05/2023,Priority Waitlist,Applications,Family 2 bedroom,Dwelling need,,WA,1035
31/05/2023,Priority Waitlist,Applications,Family 3 bedroom,Dwelling need,,WA,636
31/05/2023,Priority Waitlist,Applications,Family 4 bedroom,Dwelling need,,WA,279
31/05/2023,Priority Waitlist,Applications,Family 5 bedroom,Dwelling need,,WA,44
31/05/2023,Priority Waitlist,Applications,Family 6plus bedroom,Dwelling need,,WA,10
31/05/2023,Priority Waitlist,Applications,To Be Determined,Dwelling need,,WA,86
31/05/2023,Priority Waitlist,Individuals,Singles 1 bedroom,Dwelling need,,WA,1970
31/05/2023,Priority Waitlist,Individuals,Singles 2 bedroom,Dwelling need,,WA,273
31/05/2023,Priority Waitlist,Individuals,Seniors 1 bedroom,Dwelling need,,WA,498
31/05/2023,Priority Waitlist,Individuals,Seniors 2 bedroom,Dwelling need,,WA,145
31/05/2023,Priority Waitlist,Individuals,Family 2 bedroom,Dwelling need,,WA,2242
31/05/2023,Priority Waitlist,Individuals,Family 3 bedroom,Dwelling need,,WA,2225
31/05/2023,Priority Waitlist,Individuals,Family 4 bedroom,Dwelling need,,WA,1409
31/05/2023,Priority Waitlist,Individuals,Family 5 bedroom,Dwelling need,,WA,298
31/05/2023,Priority Waitlist,Individuals,Family 6plus bedroom,Dwelling need,,WA,86
31/05/2023,Priority Waitlist,Individuals,To Be Determined,Dwelling need,,WA,164
31/05/2023,Total new tenancies last 12 months,Applications,Singles 2 bedroom,New tenancies by dwelling need,,WA,80
31/05/2023,Total new tenancies last 12 months,Applications,Seniors 1 bedroom,New tenancies by dwelling need,,WA,401
31/05/2023,Total new tenancies last 12 months,Applications,Seniors 2 bedroom,New tenancies by dwelling need,,WA,274
31/05/2023,Total new tenancies last 12 months,Applications,Family 2 bedroom,New tenancies by dwelling need,,WA,461
31/05/2023,Total new tenancies last 12 months,Applications,Family 3 bedroom,New tenancies by dwelling need,,WA,783
31/05/2023,Total new tenancies last 12 months,Applications,Family 4 bedroom,New tenancies by dwelling need,,WA,158
31/05/2023,Total new tenancies last 12 months,Applications,Family 5 bedroom,New tenancies by dwelling need,,WA,28
31/05/2023,Total new tenancies last 12 months,Applications,Family 6plus bedroom,New tenancies by dwelling need,,WA,4
31/05/2023,Total waitlist,Average wait last 12 months,Singles 1 bedroom,Waiting time by dwelling need,,WA,209.9723145
31/05/2023,Total waitlist,Average wait last 12 months,Singles 2 bedroom,Waiting time by dwelling need,,WA,151.425
31/05/2023,Total waitlist,Average wait last 12 months,Seniors 1 bedroom,Waiting time by dwelling need,,WA,102.3302458
31/05/2023,Total waitlist,Average wait last 12 months,Seniors 2 bedroom,Waiting time by dwelling need,,WA,88.33420229
31/05/2023,Total waitlist,Average wait last 12 months,Family 2 bedroom,Waiting time by dwelling need,,WA,143.2547258
31/05/2023,Total waitlist,Average wait last 12 months,Family 3 bedroom,Waiting time by dwelling need,,WA,117.1758803
31/05/2023,Total waitlist,Average wait last 12 months,Family 4 bedroom,Waiting time by dwelling need,,WA,121.4358047
31/05/2023,Total waitlist,Average wait last 12 months,Family 5 bedroom,Waiting time by dwelling need,,WA,129.5612245
31/05/2023,Total waitlist,Average wait last 12 months,Family 6plus bedroom,Waiting time by dwelling need,,WA,70.03571429
31/05/2023,Priority new tenancies last 12 months,Applications,Singles 1 bedroom,New tenancies by dwelling need,,WA,276
31/05/2023,Priority new tenancies last 12 months,Applications,Singles 2 bedroom,New tenancies by dwelling need,,WA,63
31/05/2023,Priority new tenancies last 12 months,Applications,Seniors 1 bedroom,New tenancies by dwelling need,,WA,272
31/05/2023,Priority new tenancies last 12 months,Applications,Seniors 2 bedroom,New tenancies by dwelling need,,WA,143
31/05/2023,Priority new tenancies last 12 months,Applications,Family 2 bedroom,New tenancies by dwelling need,,WA,333
31/05/2023,Priority new tenancies last 12 months,Applications,Family 3 bedroom,New tenancies by dwelling need,,WA,548
31/05/2023,Priority new tenancies last 12 months,Applications,Family 4 bedroom,New tenancies by dwelling need,,WA,117
31/05/2023,Priority new tenancies last 12 months,Applications,Family 5 bedroom,New tenancies by dwelling need,,WA,18
31/05/2023,Priority new tenancies last 12 months,Applications,Family 6plus bedroom,New tenancies by dwelling need,,WA,1
31/05/2023,Priority waitlist,Average wait last 12 months,Singles 1 bedroom,Waiting time by dwelling need,,WA,108.0869565
31/05/2023,Priority waitlist,Average wait last 12 months,Singles 2 bedroom,Waiting time by dwelling need,,WA,86.02947846
31/05/2023,Priority waitlist,Average wait last 12 months,Seniors 1 bedroom,Waiting time by dwelling need,,WA,46.86239496
31/05/2023,Priority waitlist,Average wait last 12 months,Seniors 2 bedroom,Waiting time by dwelling need,,WA,38.2997003
31/05/2023,Priority waitlist,Average wait last 12 months,Family 2 bedroom,Waiting time by dwelling need,,WA,84.5975976
31/05/2023,Priority waitlist,Average wait last 12 months,Family 3 bedroom,Waiting time by dwelling need,,WA,66.22080292
31/05/2023,Priority waitlist,Average wait last 12 months,Family 4 bedroom,Waiting time by dwelling need,,WA,76.66910867
31/05/2023,Priority waitlist,Average wait last 12 months,Family 5 bedroom,Waiting time by dwelling need,,WA,60.57142857
31/05/2023,Priority waitlist,Average wait last 12 months,Family 6plus bedroom,Waiting time by dwelling need,,WA,99.28571429
31/05/2023,Total waitlist waiting time,Average wait last 12 months,,Waiting time (WA total only -extra data point),,WA,132
31/05/2023,Total waitlist waiting time,Average wait last 12 months,,Waiting time (WA total only -extra data point),,WA,72
30/06/2021,Total waitlist,Applications,,New tenancies,last 12 months,WA,1758
30/06/2022,Total waitlist,Applications,,New tenancies,last 12 months,WA,1963
30/06/2023,Total waitlist,Applications,,New tenancies,last 12 months,WA,2643
30/09/2023,Total waitlist,Applications,,New tenancies,Q1 FY24,WA,664
30/06/2021,Priority waitlist,Applications,,New tenancies,last 12 months,WA,1026
30/06/2022,Priority waitlist,Applications,,New tenancies,last 12 months,WA,1342
30/06/2023,Priority waitlist,Applications,,New tenancies,last 12 months,WA,1820
30/09/2023,Priority waitlist,Applications,,New tenancies,Q1 FY24,WA,450
31/07/2023,Total waitlist,Applications,,Region need,,North Metro,5790
31/07/2023,Total waitlist,Applications,,Region need,,South Metro,7390
31/07/2023,Total waitlist,Applications,,Region need,,Great Southern,577
31/07/2023,Total waitlist,Applications,,Region need,,Southwest,1250
31/07/2023,Total waitlist,Applications,,Region need,,Goldfields,588
31/07/2023,Total waitlist,Applications,,Region need,,Midwest/Gascoyne,1064
31/07/2023,Total waitlist,Applications,,Region need,,Pilbara,641
31/07/2023,Total waitlist,Applications,,Region need,,West Kimberley,899
31/07/2023,Total waitlist,Applications,,Region need,,Wheatbelt,409
31/07/2023,Total waitlist,Applications,,Region need,,East Kimberley,376
31/07/2023,Total waitlist,Individuals,,Region need,,North Metro,10298
31/07/2023,Total waitlist,Individuals,,Region need,,South Metro,13228
31/07/2023,Total waitlist,Individuals,,Region need,,Great Southern,987
31/07/2023,Total waitlist,Individuals,,Region need,,Southwest,1979
31/07/2023,Total waitlist,Individuals,,Region need,,Goldfields,1048
31/07/2023,Total waitlist,Individuals,,Region need,,Midwest/Gascoyne,2072
31/07/2023,Total waitlist,Individuals,,Region need,,Pilbara,1273
31/07/2023,Total waitlist,Individuals,,Region need,,West Kimberley,1525
31/07/2023,Total waitlist,Individuals,,Region need,,Wheatbelt,836
31/07/2023,Total waitlist,Individuals,,Region need,,East Kimberley,697
31/07/2023,Priority Waitlist,Applications,,Region need,,North Metro,1479
31/07/2023,Priority Waitlist,Applications,,Region need,,South Metro,1869
31/07/2023,Priority Waitlist,Applications,,Region need,,Great Southern,193
31/07/2023,Priority Waitlist,Applications,,Region need,,Southwest,249
