Date,Category,Description1,Description2,Description3,Description4,Description5,Description6,Description7,Estimate,Value,added_datetime
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior month change,Actual,change from prior month,Percentage,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior month change,Percentage,change from prior month,Percentage,Y,-13.4591094953943,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior month change,Percentage,change from prior month,Percentage,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior year change,Actual,change from prior month,Percentage,Y,-2.605162523900583,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior year change,Actual,change from prior month,Percentage,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior year change,Percentage,change from prior month,Percentage,Y,-4.4956716112989215,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior year change,Percentage,change from prior month,Percentage,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,financial year to date,Actual,change from prior month,Percentage,Y,76.60818713450293,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,financial year to date,Actual,change from prior month,Percentage,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,financial year to date,Percentage,change from prior month,Percentage,Y,76.60818713450294,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,financial year to date,Percentage,change from prior month,Percentage,Y,0.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,prior year,Actual,change from prior year,Actual,N,-71.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,prior year,Actual,change from prior year,Actual,N,-103.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,prior year,Percentage,change from prior year,Actual,N,-4.457230453397278,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,prior year,Percentage,change from prior year,Actual,N,-5.293161486329195,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,calendar year to date,Actual,change from prior year,Actual,N,-71.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,calendar year to date,Actual,change from prior year,Actual,N,586.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,calendar year to date,Percentage,change from prior year,Actual,N,-4.457230453397278,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,calendar year to date,Percentage,change from prior year,Actual,N,13.16558076836666,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,-,Actual,change from prior year,Actual,N,641.9038461538457,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,-,Actual,change from prior year,Actual,N,581.5705128205127,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,12 month rolling average,Actual,change from prior year,Actual,N,-20.903846153845734,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,12 month rolling average,Actual,change from prior year,Actual,N,4.429487179487296,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,12 month rolling average,Percentage,change from prior year,Actual,N,-1.410634156481719,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,12 month rolling average,Percentage,change from prior year,Actual,N,-0.7046019560380845,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior month change,Actual,change from prior year,Actual,Y,-14.897435897435898,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior month change,Actual,change from prior year,Actual,Y,-17.56410256410257,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior month change,Percentage,change from prior year,Actual,Y,-0.4971386157967872,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior month change,Percentage,change from prior year,Actual,Y,-0.5405668646734889,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior year change,Actual,change from prior year,Actual,N,-187.04120879120876,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior year change,Actual,change from prior year,Actual,N,-261.2078754578754,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior year change,Percentage,change from prior year,Actual,N,-6.532130070043314,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,12 month rolling average,prior year change,Percentage,change from prior year,Actual,N,-8.012822712242643,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,financial year to date,Actual,change from prior year,Actual,N,-8.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,financial year to date,Actual,change from prior year,Actual,N,-43.0,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,financial year to date,Percentage,change from prior year,Actual,N,-1.1548775678304128,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,financial year to date,Percentage,change from prior year,Actual,N,-2.0000840396971125,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Number,-,Actual,change from prior year,Percentage,N,13.951920916647945,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Number,-,Actual,change from prior year,Percentage,N,13.062862238074008,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,prior year,Actual,change from prior year,Percentage,N,-10.260115606936417,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,prior year,Actual,change from prior year,Percentage,N,-14.226519337016574,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,prior year,Percentage,change from prior year,Percentage,N,-24.21203652358435,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,prior year,Percentage,change from prior year,Percentage,N,-27.503968938633193,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,calendar year to date,Actual,change from prior year,Percentage,N,-10.260115606936417,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,calendar year to date,Actual,change from prior year,Percentage,N,1674.2857142857144,2024-02-07 09:10:59.380658
2023-12-31,Priority Applications,Priority,Applications,Difference,calendar year to date,Percentage,change from prior year,Percentage,N,-24.21203652358435,2024-02-07 09:10:59.380658
